suburb,Median Price,Traffic,Public Transport,Affordability (Rental),Affordability (Buying),Nature,Noise,Things to Do,Family-Friendliness,Pet Friendliness,Safety,Liveability
Point Piper,5000000,3,8,5,8,3,9,8,6,6,3,5.9
Tamarama,6300000,6,7,5,4,8,7,8,7,6,9,6.7
Vaucluse,6300000,7,8,5,4,8,6,9,8,7,8,7
Bellevue Hill,6000000,2,8,2,9,6,3,5,4,7,2,4.8
Watsons Bay,5500000,7,8,7,8,8,8,8,7,7,8,7.6
Bronte,4700000,6,2,6,6,8,5,9,5,2,8,5.7
Longueville,4500000,8,4,5,5,3,4,5,4,9,8,5.5
Double Bay,4200000,4,7,2,1,8,8,5,9,9,9,6.2
Mosman,4200000,2,2,2,1,7,8,6,9,8,8,5.3
Lavender Bay,4200000,6,2,9,3,3,5,9,6,9,8,6
Northwood,4200000,4,2,6,8,5,5,4,9,8,3,5.4
Potts Point,4200000,4,8,6,2,8,5,7,6,5,4,5.5
Rose Bay,4200000,2,3,3,4,7,6,5,8,2,8,4.8
Woollahra,3900000,7,8,5,6,9,6,9,7,8,8,7.3
Sydney,3900000,7,8,5,6,9,6,9,7,8,8,7.3
Palm Beach,3750000,8,7,6,2,8,7,9,5,8,4,6.4
Clovelly,3600000,5,2,6,2,5,7,7,7,2,8,5.1
Rossmore,3600000,6,7,7,4,7,5,7,8,5,7,6.3
Hunters Hill,3500000,6,6,2,9,4,2,6,9,6,9,5.9
Northbridge,3500000,4,7,5,5,2,2,6,2,4,5,4.2
Waverton,3400000,7,7,5,2,8,9,4,9,8,9,6.8
Kirribilli,3400000,5,8,2,1,8,8,5,9,9,8,6.3
Elizabeth Bay,3400000,9,3,4,2,4,4,9,5,2,6,4.8
Castle Cove,3300000,3,6,5,8,8,2,3,5,6,7,5.3
Queens Park,3300000,7,8,3,3,9,9,4,9,5,9,6.6
Manly,3200000,3,4,3,2,10,8,8,9,9,9,6.5
Coogee,3200000,8,7,7,8,7,9,3,2,7,3,6.1
Cremorne,3200000,9,4,2,2,4,4,6,4,5,9,4.9
Greenwich,3200000,3,3,9,6,8,5,5,5,7,2,5.3
Warrawee,3200000,7,6,8,7,8,7,8,6,8,7,7.2
Lindfield,3150000,6,6,3,2,8,9,3,9,9,9,6.4
Fairlight,3100000,9,9,3,9,5,6,6,5,7,8,6.7
Freshwater,3100000,5,9,7,2,4,5,9,4,5,8,5.8
Millers Point,3100000,9,2,5,6,7,4,9,2,8,5,5.7
Queenscliff,3100000,8,7,6,5,5,7,7,6,5,8,6.4
Waverley,3100000,5,7,4,6,5,6,8,7,6,8,6.2
Kensington,3000000,5,7,4,2,7,5,8,8,7,7,6
Rushcutters Bay,3000000,4,5,4,2,8,7,5,8,9,7,5.9
Paddington,3000000,4,3,4,2,7,6,8,7,8,6,5.5
Bondi,3000000,2,5,5,5,5,7,6,6,8,4,5.3
Collaroy,3000000,4,4,9,5,4,2,2,6,8,3,4.7
Curl Curl,3000000,5,5,7,2,8,3,4,6,9,2,5.1
Milsons Point,3000000,2,2,9,3,2,4,2,4,5,4,3.7
Killara,2950000,7,6,4,2,9,9,2,8,8,9,6.4
Artarmon,2950000,6,7,6,4,7,8,4,8,8,8,6.6
Randwick,2950000,3,6,4,2,7,6,9,8,8,8,6.1
Wollstonecraft,2900000,6,7,5,3,8,9,1,8,8,9,6.4
Roseville,2900000,5,6,3,2,8,8,3,9,8,10,6.2
Willoughby,2900000,6,8,5,7,7,6,8,8,7,9,7.1
Neutral Bay,2850000,1,5,3,2,8,7,8,7,7,9,5.7
Strathfield,2800000,5,9,4,2,5,4,5,7,5,7,5.3
Birchgrove,2800000,5,9,6,6,7,4,7,2,4,5,5.5
Gordon,2800000,6,5,5,3,3,3,2,9,4,6,4.6
Horsley Park,2800000,7,3,9,5,5,3,5,3,6,8,5.4
Pymble,2800000,8,9,4,3,10,10,5,8,6,10,7.3
Riverview,2800000,8,7,6,8,7,7,8,7,8,7,7.3
Seaforth,2800000,6,9,6,5,6,5,6,7,4,7,6.1
North Sydney,2700000,4,9,4,2,5,7,5,5,6,8,5.5
St Leonards,2700000,4,7,5,3,4,4,4,6,5,8,5
Kenthurst,2700000,9,5,4,9,2,5,5,7,9,7,6.2
Lilli Pilli,2700000,9,2,9,5,8,5,9,3,2,7,5.9
Cabarita,2650000,2,3,5,5,4,4,5,7,8,6,4.9
Narrabeen,2650000,7,2,4,5,8,2,7,5,4,2,4.6
Lane Cove,2600000,3,4,4,3,8,8,5,9,9,9,6.2
Balgowlah,2600000,7,2,7,4,4,3,7,9,7,9,5.9
Manly Vale,2600000,4,2,3,4,3,8,4,2,2,2,3.4
Naremburn,2600000,4,4,5,4,9,4,8,9,8,6,6.1
Putney,2550000,4,4,3,2,9,8,7,10,9,10,6.6
Chatswood,2550000,3,6,5,4,5,5,5,7,7,7,5.4
Abbotsford,2550000,5,2,2,4,6,6,5,5,7,6,4.8
Kingsford,2500000,4,7,4,3,5,6,6,6,6,5,5.2
Cammeray,2500000,9,8,5,3,9,8,9,8,9,2,7
Dee Why,2500000,3,4,8,4,7,9,4,9,4,2,5.4
Turramurra,2400000,5,6,4,2,9,9,3,8,9,8,6.3
