suburb,Median Price,Traffic,Public Transport,Affordability (Rental),Affordability (Buying),Nature,Noise,Things to Do,Family-Friendliness,Pet Friendliness,Safety,Liveability
Hornsby,1400000,4,6,7,6,8,7,7,9,8,9,7.1
Oatley,1800000,6,6,6,4,8,9,5,9,8,9,7
Dulwich Hill,1900000,5,8,6,4,8,7,6,8,9,8,6.9
Jannali,1300000,6,6,7,7,7,8,2,8,8,9,6.8
Waverton,3400000,7,7,5,2,8,9,4,9,8,9,6.8
Concord,2200000,6,5,5,3,8,7,6,9,9,9,6.7
Holsworthy,950000,6,6,7,7,6,7,3,8,8,9,6.7
Summer Hill,2100000,6,7,6,3,6,8,5,9,8,9,6.7
Artarmon,2950000,6,7,6,4,7,8,4,8,8,8,6.6
Croydon,1800000,4,6,6,4,6,6,6,10,9,9,6.6
Engadine,1100000,4,6,6,7,8,7,3,9,8,8,6.6
Padstow,1150000,5,7,6,7,7,7,5,7,8,7,6.6
Panania,1100000,6,7,7,7,7,7,3,8,8,6,6.6
Putney,2550000,4,4,3,2,9,8,7,10,9,10,6.6
Como,1500000,7,6,5,4,9,8,2,8,7,9,6.5
Cronulla,2300000,3,6,5,3,10,6,9,8,9,6,6.5
Gymea,1350000,5,6,6,5,6,7,7,8,7,8,6.5
Kirrawee,1350000,4,6,5,5,7,6,7,8,9,8,6.5
Lugarno,1500000,5,3,6,5,9,8,3,8,8,10,6.5
Penshurst,1350000,6,7,6,6,7,5,4,8,8,8,6.5
Rouse Hill,1150000,3,4,6,6,8,7,7,9,8,7,6.5
Wahroonga,2300000,5,6,4,2,9,8,4,9,9,9,6.5
Beecroft,2100000,4,6,4,3,9,10,2,9,8,9,6.4
Carlton,1400000,5,6,6,5,6,8,4,8,8,8,6.4
Killara,2950000,7,6,4,2,9,9,2,8,8,9,6.4
Lindfield,3150000,6,6,3,2,8,9,3,9,9,9,6.4
Wollstonecraft,2900000,6,7,5,3,8,9,1,8,8,9,6.4
Drummoyne,2350000,2,6,4,3,9,4,8,9,9,9,6.3
Epping,1900000,3,8,4,4,7,6,6,8,9,8,6.3
Gladesville,2300000,4,5,6,3,9,6,7,8,7,8,6.3
Haberfield,2350000,3,7,3,3,8,5,8,8,9,9,6.3
Kirribilli,3400000,5,8,2,1,8,8,5,9,9,8,6.3
