suburb,LAT,LON
Kincumber,-33.47252,151.40208
Halekulani,-33.21772,151.55237
Chittaway Bay,-33.32678,151.44557
Leumeah,-34.05375,150.83957
North Avoca,-33.45608,151.43598
Bensville,-33.49914,151.39045
Toukley,-33.25799,151.54324
Winmalee,-33.67971,150.61119
Point Clare,-33.44017,151.31715
Picnic Point,-33.97301,151.00632
Whalan,-33.75572,150.80361
North Rocks,-33.77572,151.01474
Bass Hill,-33.90028,150.99309
The Entrance North,-33.33333,151.50775
Concord,-33.85608,151.10677
Acacia Gardens,-33.73411,150.91377
Wetherill Park,-33.84214,150.89843
Dolans Bay,-34.06337,151.12578
Greenhills Beach,-34.03624,151.1585
Croydon,-33.88062,151.1169
Elanora Heights,-33.70172,151.27318
Leichhardt,-33.88143,151.15595
Narara,-33.39553,151.33681
Canley Vale,-33.88495,150.95058
Killcare Heights,-33.52256,151.37418
North Turramurra,-33.69054,151.15407
Avalon Beach,-33.62899,151.32686
Panania,-33.95493,150.99524
Rosehill,-33.82647,151.03151
Lansvale,-33.89877,150.96071
Petersham,-33.89452,151.1556
Rosemeadow,-34.10624,150.79181
Ultimo,-33.87941,151.19845
Burwood,-33.87838,151.10412
Eastlakes,-33.93108,151.21145
Killarney Vale,-33.36629,151.4607
Drummoyne,-33.85205,151.15424
Millers Point,-33.85966,151.20425
Russell Lea,-33.85841,151.14202
Mascot,-33.9466,151.18371
Bossley Park,-33.86202,150.88392
Beecroft,-33.75342,151.06372
Rodd Point,-33.86584,151.14375
Ermington,-33.8105,151.06162
Padstow Heights,-33.97042,151.03352
Blackwall,-33.50518,151.33518
Alexandria,-33.9082,151.19191
Zetland,-33.90769,151.2083
Revesby,-33.94767,151.01233
Macmasters Beach,-33.49756,151.40816
Wyong,-33.27889,151.43056
Como,-34.00258,151.0648
Birchgrove,-33.85093,151.18309
Warrimoo,-33.7239,150.61735
Northbridge,-33.8112,151.2183
East Killara,-33.75738,151.18183
Woodcroft,-33.75523,150.88065
Bondi Junction,-33.89296,151.2503
West Pymble,-33.76365,151.12999
La Perouse,-33.99151,151.24014
Putney,-33.8268,151.10602
Narellan Vale,-34.05177,150.74372
Kingswood,-33.76129,150.72784
Empire Bay,-33.5035,151.36918
Pennant Hills,-33.73636,151.07741
East Gosford,-33.43514,151.35463
Carss Park,-33.98679,151.11717
Oran Park,-33.99074,150.74247
Pretty Beach,-33.52717,151.34781
Daceyville,-33.9289,151.22527
Bradbury,-34.08405,150.81805
Booker Bay,-33.51258,151.34636
Budgewoi,-33.23957,151.56058
Mannering Park,-33.16376,151.5404
Sefton,-33.88742,151.0104
Taren Point,-34.01833,151.12465
Rouse Hill,-33.67757,150.91278
Riverstone,-33.66886,150.85969
Bardia,-33.9773,150.86232
Lewisham,-33.8953,151.14668
Homebush West,-33.86291,151.06711
Yattalunga,-33.46838,151.36601
South Penrith,-33.7734,150.69863
Balgowlah Heights,-33.8077,151.26552
Edensor Park,-33.87884,150.87759
Forresters Beach,-33.40857,151.46938
Bondi,-33.89314,151.26703
Sandy Point,-33.97576,150.99327
Wagstaffe,-33.52349,151.34031
Kyle Bay,-33.98937,151.10096
Narraweena,-33.75,151.27239
Wiley Park,-33.9234,151.06765
The Ponds,-33.70612,150.90622
Asquith,-33.68827,151.11987
Point Piper,-33.86505,151.25332
Doonside,-33.76242,150.87007
Botany,-33.94907,151.19881
Waitara,-33.70949,151.1061
Lurnea,-33.93623,150.89729
Penshurst,-33.96482,151.08475
Castle Cove,-33.78592,151.21481
East Lindfield,-33.76741,151.18832
Magenta,-33.30304,151.53201
Mount Druitt,-33.76791,150.8136
Ingleburn,-34.0051,150.8581
Eastwood,-33.78849,151.08514
Fairfield Heights,-33.86713,150.94148
Tempe,-33.92488,151.16476
Darlinghurst,-33.8794,151.22078
Lane Cove North,-33.8057,151.16111
Casula,-33.95198,150.89671
North Strathfield,-33.85783,151.08877
Chiswick,-33.84987,151.13772
Paddington,-33.88334,151.22781
Peakhurst,-33.96181,151.05799
Mount Pritchard,-33.90435,150.90114
Camperdown,-33.88889,151.18298
Terrey Hills,-33.69099,151.21565
Westmead,-33.80918,150.98696
Carlton,-33.97075,151.1214
Berkeley Vale,-33.34073,151.42855
Prestons,-33.94155,150.87334
Henley,-33.84211,151.13803
Toowoon Bay,-33.36239,151.49762
St Clair,-33.79794,150.78794
Spring Farm,-34.06839,150.72519
South Hurstville,-33.97767,151.10598
Chipping Norton,-33.91492,150.95681
St Leonards,-33.82233,151.19286
Marsden Park,-33.69979,150.81845
Glendenning,-33.74778,150.8557
Macquarie Park,-33.7788,151.12627
Woollahra,-33.88581,151.24417
Rozelle,-33.86465,151.17428
Lethbridge Park,-33.73806,150.80064
Berowra,-33.62806,151.15004
Hardys Bay,-33.52699,151.35541
Kariong,-33.45559,151.27311
Lilyfield,-33.87113,151.16107
Collaroy Plateau,-33.73128,151.28955
Beverly Hills,-33.94831,151.07815
Mount Annan,-34.06403,150.76318
Woongarrah,-33.24015,151.47632
Church Point,-33.65154,151.28137
Glen Alpine,-34.08767,150.7719
Greystanes,-33.82378,150.93855
Windsor Downs,-33.65859,150.80821
Avoca Beach,-33.46746,151.42812
Lidcombe,-33.86491,151.04789
Haberfield,-33.87968,151.1391
Georges Hall,-33.90761,150.98902
Rooty Hill,-33.77213,150.845
Cecil Hills,-33.88752,150.84426
Wentworthville,-33.80641,150.96973
Long Jetty,-33.35917,151.48543
Sans Souci,-33.99452,151.13524
Ramsgate Beach,-33.98256,151.14633
Erina Heights,-33.42718,151.40825
Point Frederick,-33.44184,151.34373
Colebee,-33.72449,150.85843
St Peters,-33.91594,151.17672
Ettalong Beach,-33.51595,151.33432
Niagara Park,-33.37876,151.34724
Whale Beach,-33.6134,151.33282
Hamlyn Terrace,-33.25323,151.47277
Lakemba,-33.91825,151.07547
Freshwater,-33.77603,151.28481
Hunters Hill,-33.83054,151.14729
Oxley Park,-33.77068,150.79565
Earlwood,-33.92492,151.13127
Marsfield,-33.77752,151.10509
Clontarf,-33.80794,151.25683
Blaxland,-33.74507,150.61818
Milperra,-33.94109,150.98349
Killara,-33.76899,151.15799
Roseville Chase,-33.77471,151.20025
Fairlight,-33.79412,151.27428
Narrabeen,-33.71505,151.29588
Darling Point,-33.87237,151.2356
Merrylands,-33.83511,150.98511
San Remo,-33.21474,151.52049
Glenfield,-33.97099,150.89301
Jordan Springs,-33.72309,150.73341
Bateau Bay,-33.38486,151.47128
St Marys,-33.75951,150.77085
Belmore,-33.91942,151.08774
Harris Park,-33.82233,151.01207
East Hills,-33.96119,150.98818
North Sydney,-33.83662,151.20958
Claremont Meadows,-33.7743,150.75296
Middle Cove,-33.79242,151.21235
Caringbah South,-34.05314,151.1205
Arncliffe,-33.93868,151.14572
Greenacre,-33.8989,151.05729
Manly Vale,-33.78215,151.26601
Clareville,-33.63655,151.31075
Edmondson Park,-33.96407,150.85104
Stanmore,-33.8937,151.16537
Neutral Bay,-33.83489,151.21821
South Coogee,-33.93221,151.25393
Breakfast Point,-33.84282,151.11092
Toongabbie,-33.79196,150.9468
Hurlstone Park,-33.91005,151.12854
Hammondville,-33.95082,150.95833
Waterloo,-33.90035,151.20733
South Turramurra,-33.7525,151.10676
Rhodes,-33.83004,151.0887
Bexley North,-33.94238,151.11532
Campsie,-33.91457,151.10339
Wollstonecraft,-33.83315,151.19595
Berala,-33.87461,151.03345
Kensington,-33.91291,151.22388
Charmhaven,-33.2261,151.49301
Engadine,-34.05778,151.01793
Lane Cove,-33.81806,151.16504
Melrose Park,-33.81322,151.07389
Tennyson Point,-33.83175,151.11687
St Ives,-33.72491,151.16978
Wyongah,-33.27022,151.48554
Lavender Bay,-33.84388,151.20761
