suburb,nearest_suburbs
Hornsby,"Newtown,Marrickville,Ryde,Pyrmont,Waterloo"
Oatley,"Lugarno,Botany,Gladesville,Peakhurst,Annandale"
Dulwich Hill,"Summer Hill,Drummoyne,Leichhardt,Homebush,Petersham"
Jannali,"Bangor,Kirrawee,Como,Gymea,Menai"
Waverton,"Kirribilli,Crows Nest,Wollstonecraft,Edgecliff,Neutral Bay"
Concord,"Croydon,Five Dock,Earlwood,Sans Souci,Drummoyne"
Holsworthy,"Panania,Lugarno,Milperra,Oatley,Peakhurst"
Summer Hill,"Drummoyne,Homebush,Stanmore,Dulwich Hill,Balmain"
Artarmon,"Roseville,Lindfield,Putney,Kensington,Killara"
Croydon,"Concord,Five Dock,Sans Souci,Blakehurst,Earlwood"
Engadine,"Kirrawee,Gymea,Menai,Jannali,Bangor"
Padstow,"Mortdale,Roselands,Sans Souci,Penshurst,Revesby"
Panania,"Holsworthy,Rouse Hill,Revesby,Botany,Wentworthville"
Putney,"Edgecliff,Artarmon,Roseville,Gladesville,Summer Hill"
Como,"Jannali,Bangor,Gymea,Woolooware,Kirrawee"
Cronulla,"Caringbah,Miranda,Sutherland,Kirrawee,Glebe"
Gymea,"Kirrawee,Jannali,Bangor,Menai,Como"
Kirrawee,"Jannali,Gymea,Bangor,Menai,Caringbah"
Lugarno,"Oatley,Botany,Holsworthy,Menai,Jannali"
Penshurst,"Carlton,Kingsgrove,Mortdale,Peakhurst,Sans Souci"
Rouse Hill,"Panania,Menai,Lugarno,Botany,Oatley"
Wahroonga,"Turramurra,Lane Cove,Drummoyne,Annandale,Balmain"
Beecroft,"Denistone,Five Dock,Concord,Sans Souci,Lilyfield"
Carlton,"Penshurst,Kingsgrove,Mortdale,Peakhurst,Sans Souci"
Killara,"Lindfield,Roseville,Artarmon,Haberfield,Kensington"
Lindfield,"Artarmon,Roseville,Killara,Haberfield,Denistone"
Wollstonecraft,"Neutral Bay,Kirribilli,Lane Cove,Crows Nest,Waverton"
Drummoyne,"Summer Hill,Annandale,Balmain,Lilyfield,Dulwich Hill"
Epping,"Carlingford,Eastwood,Kingsford,Wahroonga,Ashfield"
Gladesville,"Turramurra,Drummoyne,Summer Hill,Botany,Oatley"
Haberfield,"Five Dock,Lindfield,Denistone,Killara,Beecroft"
Kirribilli,"Wollstonecraft,Waverton,Neutral Bay,Crows Nest,Edgecliff"
Menai,"Jannali,Gymea,Kirrawee,Bangor,Caringbah"
Turramurra,"Gladesville,Lane Cove,Wahroonga,Annandale,Drummoyne"
Manly,"Paddington,Cronulla,Neutral Bay,Mosman,Wollstonecraft"
Botany,"Oatley,Lugarno,Gladesville,Balmain,Drummoyne"
Caringbah,"Kirrawee,Gymea,Menai,Jannali,Sutherland"
Denistone,"Beecroft,Five Dock,Haberfield,Sans Souci,Croydon"
Double Bay,"Kirribilli,Wollstonecraft,Manly,Waverton,Neutral Bay"
Eastwood,"Carlingford,Kingsford,Epping,Zetland,Ultimo"
Kogarah,"Wolli Creek,Riverwood,Wentworthville,Lidcombe,Mascot"
Lane Cove,"Neutral Bay,Crows Nest,Wollstonecraft,Drummoyne,Turramurra"
Miranda,"Sutherland,Caringbah,Cronulla,Newtown,Lidcombe"
Roseville,"Artarmon,Lindfield,Putney,Killara,Kensington"
Sans Souci,"Mortdale,Blakehurst,Penshurst,Peakhurst,Croydon"
Woolooware,"Como,Bangor,Kirrawee,Gymea,Jannali"
Milperra,"Bangor,Jannali,Gymea,Kirrawee,Holsworthy"
Annandale,"Lilyfield,Rozelle,Drummoyne,Petersham,Stanmore"
Carlingford,"Epping,Eastwood,Riverwood,Wentworthville,Kingsford"
Kingsgrove,"Peakhurst,Penshurst,Carlton,Mortdale,Rockdale"
Lidcombe,"Revesby,Panania,Kogarah,Miranda,Marrickville"
Lilyfield,"Annandale,Rozelle,Petersham,Drummoyne,Stanmore"
Randwick,"Strathfield,Castle Hill,Ryde,Ashfield,Kensington"
Rozelle,"Lilyfield,Petersham,Annandale,Leichhardt,Stanmore"
Waitara,"Meadowbank,Summer Hill,Edgecliff,Carlton,Macquarie Park"
Balmain,"Drummoyne,Summer Hill,Annandale,Lilyfield,Leichhardt"
Bangor,"Jannali,Como,Kirrawee,Gymea,Menai"
Bexley,"Rockdale,Kingsgrove,Arncliffe,Earlwood,Carlton"
Blakehurst,"Sans Souci,Mortdale,Penshurst,Croydon,Carlton"
Canterbury,"Roselands,Revesby,Arncliffe,Carlton,Kingsgrove"
Castle Hill,"Randwick,Ryde,Ashfield,Marrickville,Strathfield"
Kensington,"Artarmon,Neutral Bay,Paddington,Kingsford,Drummoyne"
Mortdale,"Sans Souci,Penshurst,Peakhurst,Kingsgrove,Carlton"
Revesby,"Roselands,Kingsgrove,Panania,Padstow,Canterbury"
Ryde,"Ashfield,Randwick,Castle Hill,Earlwood,Mascot"
Sutherland,"Miranda,Caringbah,Newtown,Cronulla,Kirrawee"
Hurstville,"Burwood,Campsie,Chatswood,Kogarah,Eastwood"
Riverwood,"Wentworthville,Revesby,Kogarah,Panania,Lidcombe"
Rushcutters Bay,"Edgecliff,Waverton,St Leonards,Crows Nest,Lane Cove"
Allawah,"Wolli Creek,Wentworthville,Carlton,Meadowbank,Chippendale"
Edgecliff,"Crows Nest,Rushcutters Bay,Waverton,Erskineville,Stanmore"
Five Dock,"Concord,Croydon,Haberfield,Sans Souci,Beecroft"
Leichhardt,"Petersham,Stanmore,Drummoyne,Camperdown,Dulwich Hill"
Lewisham,"St Peters,Stanmore,Petersham,Summer Hill,Lilyfield"
Meadowbank,"Macquarie Park,Waitara,Carlton,St Peters,Homebush"
Erskineville,"Petersham,Alexandria,Rozelle,Lilyfield,Stanmore"
Homebush,"Summer Hill,Dulwich Hill,Petersham,Stanmore,Balmain"
Marrickville,"Ashfield,Strathfield,Newtown,Lidcombe,Glebe"
Neutral Bay,"Lane Cove,Wollstonecraft,Crows Nest,North Sydney,St Leonards"
Rosebery,"Erskineville,Alexandria,Waitara,Homebush,Petersham"
Wentworthville,"Riverwood,Revesby,Allawah,Macquarie Park,Panania"
Earlwood,"Concord,Dulwich Hill,Ashfield,Leichhardt,Croydon"
Peakhurst,"Kingsgrove,Penshurst,Mortdale,Sans Souci,Carlton"
Surry Hills,"Redfern,Newtown,Darlinghurst,Hornsby,Glebe"
Wolli Creek,"Kogarah,Allawah,Ultimo,Chippendale,Wentworthville"
North Sydney,"St Leonards,Crows Nest,Neutral Bay,Lane Cove,Edgecliff"
Paddington,"Kensington,Kingsford,Neutral Bay,Turramurra,Wollstonecraft"
Pyrmont,"Waterloo,Darlinghurst,Mascot,Camperdown,Glebe"
Rockdale,"Kingsgrove,Bexley,Arncliffe,Revesby,Carlton"
Chatswood,"Eastwood,Epping,Kingsford,Strathfield,Randwick"
Crows Nest,"St Leonards,Lane Cove,North Sydney,Edgecliff,Neutral Bay"
Macquarie Park,"Meadowbank,Waitara,Homebush,Gladesville,Carlton"
Petersham,"Rozelle,Stanmore,Lilyfield,Leichhardt,St Peters"
Rhodes,"McMahons Point,Annangrove,Brookvale,Clontarf,Burwood"
Ashfield,"Strathfield,Marrickville,Earlwood,Ryde,Leichhardt"
McMahons Point,"Clontarf,Rhodes,Chiswick,Darling Point,Dolls Point"
Mosman,"Manly,Randwick,Paddington,Double Bay,Kensington"
Newtown,"Glebe,Redfern,Darlinghurst,Miranda,Camperdown"
Strathfield,"Ashfield,Marrickville,Randwick,Ryde,Glebe"
Camperdown,"Leichhardt,Petersham,Stanmore,Glebe,Rozelle"
Campsie,"Lidcombe,Kogarah,Chatswood,Riverwood,Marrickville"
Chippendale,"Ultimo,Zetland,Kingsford,Wolli Creek,Allawah"
Kingsford,"Kensington,Zetland,Paddington,Neutral Bay,North Sydney"
St Peters,"Lewisham,Stanmore,Petersham,Summer Hill,Lilyfield"
Stanmore,"Lewisham,Petersham,St Peters,Summer Hill,Lilyfield"
Burwood,"Ultimo,Chippendale,Eastwood,Wolli Creek,Hurstville"
Roselands,"Canterbury,Arncliffe,Revesby,Padstow,Kingsgrove"
Glebe,"Camperdown,Alexandria,Newtown,Darlinghurst,Leichhardt"
Redfern,"Newtown,Surry Hills,Darlinghurst,Glebe,Waterloo"
St Leonards,"Crows Nest,North Sydney,Neutral Bay,Lane Cove,Edgecliff"
Zetland,"Chippendale,Kingsford,Ultimo,Eastwood,Edgecliff"
Darlinghurst,"Pyrmont,Glebe,Alexandria,Newtown,Redfern"
Mascot,"Kingsgrove,Waterloo,Pyrmont,Camperdown,Arncliffe"
Bankstown,"Surry Hills,Parramatta,Campbelltown,Redfern,Hornsby"
Ultimo,"Chippendale,Zetland,Wolli Creek,Allawah,Eastwood"
Waterloo,"Pyrmont,Mascot,Alexandria,Camperdown,Glebe"
Alexandria,"Erskineville,Glebe,Camperdown,Waterloo,Rosebery"
Arncliffe,"Roselands,Kingsgrove,Rockdale,Bexley,Mascot"
Abbotsbury,"Pemulwuy,Rosehill,Pendle Hill,Regents Park,Bass Hill"
Abbotsford,"Forest Lodge,Breakfast Point,Rodd Point,Cabarita,Ashbury"
Airds,"Kearns,St Helens Park,Rosemeadow,Ambarvale,Spring Farm"
Allambie Heights,"Newport,Belrose,Warriewood,Cromer,Frenchs Forest"
Ambarvale,"Rosemeadow,St Helens Park,Leumeah,St Andrews,Raby"
