suburb,nearest_suburbs
Hornsby,"'St Marys', 'Seaforth', 'Colyton', 'Ponds, The', 'Berala'"
Oatley,"'Narwee', 'Appin', 'Willmot', 'Leumeah', 'Raby'"
Dulwich Hill,"'Meadowbank', 'Ashfield', 'Greenwich', 'Wallacia', 'Kearns'"
Jannali,"'Middle Cove', 'Burwood', 'Stanhope Gardens', 'Castle Hill', 'Narrabeen'"
Waverton,"'Rooty Hill', 'Lindfield', 'Illawong', 'Newport', 'Plumpton'"
Concord,"'Banksia', 'Lilli Pilli', 'Spring Farm', 'Northmead', 'Hornsby'"
Holsworthy,"'Haymarket', 'St Marys', 'Richmond', 'Menai', 'Fairfield'"
Summer Hill,"'Guildford', 'Jamisontown', 'Rosebery', 'Bardwell Valley', 'Hurlstone Park'"
Artarmon,"'Yagoona', 'Baulkham Hills', 'Lane Cove', 'Mascot', 'Wollstonecraft'"
Croydon,"'Putney', 'Yennora', 'Busby', 'Lewisham', 'Kyeemagh'"
Engadine,"'Ermington', 'Melrose Park', 'Homebush', 'Kingsgrove', 'Londonderry'"
Padstow,"'Oakville', 'Tempe', 'Picnic Point', 'Peakhurst', 'Campsie'"
Panania,"'Palm Beach', 'Liverpool', 'St Andrews', 'Bella Vista', 'Fairlight'"
Putney,"'Rosemeadow', 'North Sydney', 'Gymea', 'Busby', 'Richmond'"
Como,"'Wahroonga', 'Woodbine', 'Denistone', 'St Johns Park', 'Marsden Park'"
Cronulla,"'Greenacre', 'Punchbowl', 'Canterbury', 'Lalor Park', 'Blakehurst'"
Gymea,"'Beverly Hills', 'Naremburn', 'Wheeler Heights', 'Dolls Point', 'Ryde'"
Kirrawee,"'St Marys', 'St Johns Park', 'Ermington', 'Lalor Park', 'Allambie Heights'"
Lugarno,"'Cromer', 'Abbotsford', 'St Marys', 'Oakhurst', 'Bronte'"
Penshurst,"'Prestons', 'Elderslie', 'Cronulla', 'Silverwater', 'Homebush'"
Rouse Hill,"'Palm Beach', 'Bass Hill', 'Northbridge', 'Allambie Heights', 'Pendle Hill'"
Wahroonga,"'Bexley', 'Kensington', 'Camden', 'Allambie Heights', 'Marrickville'"
Beecroft,"'Riverstone', 'Woolooware', 'Holsworthy', 'Barden Ridge', 'Naremburn'"
Carlton,"'Freshwater', 'Woronora', 'Castlereagh', 'Elderslie', 'Leumeah'"
Killara,"'Ashcroft', 'Curl Curl', 'Orchard Hills', 'Wentworthville', 'Marrickville'"
Lindfield,"'Putney', 'East Hills', 'Caringbah', 'Hillsdale', 'Oyster Bay'"
Wollstonecraft,"'Leppington', 'Denistone', 'Balgowlah', 'Hillsdale', 'Caringbah'"
Drummoyne,"'Elderslie', 'Kingsgrove', 'Wareemba', 'Bondi', 'Picnic Point'"
Epping,"'Queens Park', 'Mosman', 'Dundas', 'Parklea', 'Kearns'"
Gladesville,"'Hurstville', 'Denistone', 'Canterbury', 'Belrose', 'Sadleir'"
Haberfield,"'Berowra', 'Bangor', 'Rouse Hill', 'Killara', 'Pitt Town'"
Kirribilli,"'Mount Lewis', 'St Leonards', 'Lewisham', 'Cabarita', 'Epping'"
Menai,"'Erskineville', 'Wentworth Point', 'Newington', 'Normanhurst', 'Wheeler Heights'"
Turramurra,"'Pemulwuy', 'Richmond', 'Rose Bay', 'Middleton Grange', 'Alexandria'"
Manly,"'Chifley', 'East Hills', 'Quakers Hill', 'Avalon Beach', 'Kirribilli'"
Botany,"'Tempe', 'Picnic Point', 'Hurstville', 'Cabramatta', 'Kirrawee'"
Caringbah,"'Killarney Heights', 'Macquarie Park', 'Clemton Park', 'Willoughby', 'Leumeah'"
Denistone,"'West Ryde', 'Como', 'Bonnet Bay', 'Forestville', 'Greystanes'"
Double Bay,"'Dulwich Hill', 'Croydon', 'Cherrybrook', 'Menai', 'Kenthurst'"
Eastwood,"'Melrose Park', 'Camperdown', 'Warwick Farm', 'Putney', 'Penrith'"
Kogarah,"'Wentworthville', 'Doonside', 'Newington', 'Woollahra', 'Kyeemagh'"
Lane Cove,"'Pagewood', 'Davidson', 'Camperdown', 'Frenchs Forest', 'Mount Annan'"
Miranda,"'Narwee', 'Tregear', 'Artarmon', 'Silverwater', 'Holsworthy'"
Roseville,"'Thornleigh', 'Emu Plains', 'Warriewood', 'Middle Cove', 'Hurlstone Park'"
Sans Souci,"'Cabarita', 'Mascot', 'Colebee', 'Panania', 'Hurlstone Park'"
Woolooware,"'Matraville', 'Annandale', 'Prospect', 'Neutral Bay', 'Maraylya'"
Milperra,"'Kurnell', 'Kyle Bay', 'Glebe', 'Emu Plains', 'Milperra'"
Annandale,"'Bradbury', 'Toongabbie', 'Telopea', 'Ramsgate', 'Brighton-le-Sands'"
Carlingford,"'Dural', 'Mulgoa', 'Mascot', 'Greenacre', 'Neutral Bay'"
Kingsgrove,"'Sefton', 'Bexley', 'Woolloomooloo', 'Millers Point', 'Avalon Beach'"
Lidcombe,"'Neutral Bay', 'Hebersham', 'Mortdale', 'Holroyd', 'Kenthurst'"
Lilyfield,"'Rose Bay', 'Kings Park', 'Crows Nest', 'Woodcroft', 'Turramurra'"
Randwick,"'Wolli Creek', 'Clovelly', 'Dulwich Hill', 'Waterloo', 'Beverly Hills'"
Rozelle,"'Marsden Park', 'Westmead', 'Chippendale', 'Holroyd', 'Ashfield'"
Waitara,"'St Johns Park', 'Woronora', 'Wheeler Heights', 'Woodbine', 'Mosman'"
Balmain,"'Kingswood', 'Glenfield', 'Kearns', 'Oatlands', 'Chiswick'"
Bangor,"'Macquarie Park', 'Davidson', 'Annangrove', 'Brookvale', 'Meadowbank'"
